<<<<<<< HEAD
u43kaBJC,알수없음,2024-09-04,(롱ver)블랙,one size,정사이즈예요,별로예요,화면과 비슷해요,164.0,48.0,44,어깨끈이랑 탑이랑 연결할 때 박음질한 실 부분이 딱딱해서 피부 쓸려요ㅠㅠ 이런 브라탑 종류 중에서 가슴뿔 없고 셔링 들어가서 밑단 주름을 자연스럽게 연출할 수 있는 점은 너무 좋은데...확실히 싼 건 퀄리티가 ㅂㄹ... 진심 저 부유방 1도 없고 가슴도 ㅂㄹ 없는 사람인데 저 실 나온 부분 때문에 아파서 못입겠어요 저보다 가슴 부분에 살 더 있으신 분들은 자국 남을 듯
g37z7iKf,알수없음,2024-08-25,아이보리,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,162.0,48.0,55,레이어드 하기 너무 좋아요 셔링도 맘에들고 짱짱해요 캡은 단단한편으로 흘러내리지 않아서 좋습니다 가격에 비해 고급스런 느낌도 있고 끈이 너무 늘어나지 않아서 모양의 변화가 거의 없어요!! 너무 만족스러워서 다른 색상도 구매하려구요 ㅎㅎ
Lemmon,상위 20%,2024-08-25,아이보리,one size,정사이즈예요,보통이에요,화면과 비슷해요,161.0,52.0,44,"바닷가로 여행 가기 전
파랑색 셔츠와 어울리는 탑을 살까하다가
후기도 좋고, 셔링도 마음에 들어서 구매했어요

가성비 너무 좋고
패드도 아주 알맞고
옆셔링때문에 날씬해보여요 (조금ㅎ)
생각보다 좀 더 짧았어요!
배가 좀 더 보여서 시원하니 좋았습니다 :)"
86Uixxvh,상위 20%,2024-08-25,(롱ver)코발트블루,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,162.0,53.0,55,쨍한 파란색을 찾고있었는데 딱이었습니다! 캡 내장이어서 너무 편했고 라인을 잘 잡아주고 끈도 얇아서 너무 좋았어요~ 부유방도 가려주고 몸매 보안 됩니다 ㅎㅎ 여행가서도 잘 입었습니다.
JJB1pJBT,상위 25%,2024-08-25,(롱ver)아이보리,one size,정사이즈예요,보통이에요,화면과 비슷해요,168.0,49.0,44,"크롭은 너무 짧을거 같아 롱으로 시켰는데 배꼽 덮는 위치까지 딱 와서 기장이 마음에 들었어요 
옆부분이 셔링때문에 뭔가 뒷면이랑 좀 어색한건 약간 아쉽
패드가 좀 딱딱하고 넘 큰 느낌이라 이것도 아쉽..
그래도 이쁘고 좋음!"
tMTWJDtf,알수없음,2024-08-18,아이보리,one size,정사이즈예요,보통이에요,화면과 비슷해요,157.0,51.0,55,생각했던 나시에요! 캡은 면적이 넓은 편이고 불편한건 없네용 아직 빨래는 안해봤는데 빨고 건조 잘해야 캡 유지 잘 될거 같네용! 흉통이 작은 분들은 넘 핏 예쁠거 같아욥 어깨랑 흉통이 좀 있는 편이라 이너로 잘입고 댕길거 같숨다 블랙 구매는 몇번 입어보고 결정해볼게용~!
이채니,상위 5%,2024-08-17,아이보리,one size,정사이즈예요,보통이에요,화면과 비슷해요,162.0,43.0,44,캡내장 나시를 이번에 동남아여행가면서 처음입어봤는데 속옷없이 나시입을수 있어서 좋고 나름 편했어요!! 근데 재질이 뭔가 더운재질이라 동남아기도햇지만 몸통부분만 땀이 더잘차는느낌… 캡은 고정이 안되잇다보니 세탁돌리니까 한쪽으로 쏠려있길래 다시 정리햇어요ㅎ 그래도 편해서 만족합니다
리뷰하는몬땃,상위 25%,2024-08-16,(롱ver)블랙,one size,작아요,아주 만족해요,화면과 비슷해요,167.0,52.0,55,"크롭티 부끄럼쟁이라 잘 못 입는데 일단 롱 구매햇는데 약간 배꼽 뾱 나오긴 합니다 더 짧앗으면 부끄러웠을듯... 가슴 캡 딱딱한걸로 내장되어있는데 좀 가슴 잇는 편이면 작게 느껴질 수도 있을 거 같아요 옷 퀄리티는 좋았고, 여름에 자주 손 갈거같아요!"
CXYyJ9VC,알수없음,2024-08-16,블랙,one size,정사이즈예요,보통이에요,화면과 비슷해요,161.5682302771855,51.50699677072121,55,"배송이 빨라서 좋았어요 여행에서 입으려고 급하게 샀는데 완전 굿
편하고 좋은데 뭐가 좀 잘 붙어서 입기 전에 먼지같은거 제거해주면 좋을거같아요
끈도 얇지만 튼튼하고 길이랑 핏은 딱 좋아요👍 
옆에 셔링있어서 단독으로 입어도 괜찮은 듯
다만 몇번 입었더니 보풀이 좀 일어났어용.. 나름 손빨래했는데🥹"
mC1m2ght,상위 25%,2024-08-12,(롱ver)아이보리,one size,정사이즈예요,보통이에요,화면과 비슷해요,157.0,65.0,66,"이게 캡이있는데 저한테는 살짝작네용.. 밑가슴이 튀어나와서 단독으로 입으면 살짝 신경쓰여서 계속 만져줘야되는데 민망쓰하네요ㅋㄱㅋ그래도 캡위치조정도 편하고 셔링잡혀있어서 맘에 듭니다
여름동안 잘입을게요~~~~ 다른색상도 사고싶어요"
mC1m2ght,상위 25%,2024-08-12,(롱ver)코발트블루,one size,정사이즈예요,보통이에요,화면과 비슷해요,157.0,65.0,66,"이게 캡이있는데 저한테는 살짝작네용.. 밑가슴이 튀어나와서 단독으로 입으면 살짝 신경쓰여서 계속 만져줘야되는데 민망쓰하네요ㅋㄱㅋ그래도 캡위치조정도 편하고 셔링잡혀있어서 맘에 듭니다
여름동안 잘입을게요~~~~ 다른색상도 사고싶어요"
개미와거미,탑리뷰어,2024-08-11,아이보리,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,162.0,54.0,55,"요즘날씨가 너무 더워서 캡 나시를 찾고 있었는데 다른 나시들은 흰색으로 하면 캡부분이 비치더라구요 ㅠㅠ
그런데 이 나시는 🩵캡부분이 비치지 않아 정말 좋았습니다!
햇빝 밑에서도 비치지 않고 단독으로 입어도 너무 좋았어요👍
딱 원하는 크롭기장으로 끈도 튼튼하게 잘 연결되어 있고 바지에 딱 알맞게 떨어집니다! 고민하시는 분들 너무 추천드려요💕"
콩즤,알수없음,2024-08-08,블랙,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,157.0,47.0,44,"✅ 70b 허리 얇고 상체 짧은 스타일 ✅
흰색도 만족스러운데 검은색은 더 만족스러움
역시 말라보이는건 검정색이 최고인듯
패드 딱딱하긴 하지만 로켓발사 느낌 아니고
자연스럽고 착용감 너무 편안해서 대대대만족"
콩즤,알수없음,2024-08-08,아이보리,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,157.0,47.0,44,"✅ 70b 허리 얇고 상체 짧은 스타일 ✅
패드가 딱딱하긴한데 여기 패드있다!!!!하는 느낌은
아니고 자연스러움 착용감도 너무 너무 편해서
여름엔 속옷 대신 이 나시 이너로 입으면 최고일듯
어디 한군데 불편한거 없이 그냥 편안 그자체,,
부유방 커버는 안되지만 화이트 컬러임에도
패드 전혀 안 보여서 대대대대만족 👍🏻"
leee******,상위 10%,2024-08-08,(롱ver)아이보리,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,161.0,55.0,55,"일단 전 상체가 완전 마른편도 아니고 살이 조금 있지만 가슴은 없는편이에요ㅎ
끈 나시인데 살 부각 전혀 안되구요!! 가슴 부분도 탄탄하게 들어가 있는데 캡이 티가 안나서 완전 자연스러워요! 재질은 보들보들한데 얇아서 비치는 것 같기도 한데 엄청 비치는게 아니라 거의 티가 안나서 크게 신경쓸 필요 없을 듯 해요! 너무 맘에 듭니다!"
1jvGulDl,알수없음,2024-08-07,(롱ver)아이보리,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,162.0,50.0,55,소재도 부드럽고 쫀쫀해요! 한 달 이상 착용해봤는데 패드는 돌아가지만 멀쩡하구 세탁 시 보풀은 진짜 조금? 생기는 정도라 아주 좋아요 ㅎㅎ 소재가 탄탄해서 바스트를 잘 잡아주는 느낌이 들지만 답답하지도 않구 좋습니다!
kVRpRHvH,알수없음,2024-08-02,(롱ver)블랙,one size,정사이즈예요,별로예요,화면과 비슷해요,161.5682302771855,51.50699677072121,55,2번인가 입고 빨지도 않았는데 바로 보풀이 엄청 올라왔어요ㅜㅜㅜ 사실 나시는 그냥 단품으로 입으랴고 산건데 보풀 때문에 신경쓰여서 좀 별로에요. 핏은 좋은데 아쉬워요 재질 개선 바라요 사진에는 눈썹칼로 보풀 밀어서 덜해보이는데 첨엔 진짜 심했어요
WiRfqOIt,알수없음,2024-08-01,블랙,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,164.0,45.0,44,"164~5 기준 명치 아래 덮는 기장
하이웨스트로 올려입을 시 노출 심하지 않으나, 일반적인 하의일 땐 확실한 크롭
밴딩이 많이 조이지 않아 부유방 부각 적고, 끈이 얇고 가슴팍이 적당히 트여있어서 단독보단 이너로 입기 좋음
재질은 얇고 부드러워 촉감이 좋고 캡 부각 없으나 어쩔 수 없이 통풍이 잘 되는 편은 아님
가격대비 가성비 좋은 무난템"
WiRfqOIt,알수없음,2024-08-01,아이보리,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,164.0,45.0,44,"164~5 기준 명치 아래까지 오는 기장
과하지 않은 선에서 딱 예쁘게 떨어지는 크롭 기장이라 매우 만족함
끈이 얇지만 금방 떨어질 것 같진 않고 캡도 편안하며 겉보기에 크게 거슬리지 않음
재질은 얇고 부드러워 촉감이 좋고 전반적으로 너무 조이지 않게 쫀쫀한 편"
k6moYC5G,상위 15%,2024-07-31,(롱ver)블랙,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,163.0,52.0,55,"일단 이런 캡 슬리브 처음 입어보는데,,,,
너무 좋은데요,,,? 하얀색으로 하나 더 살까 싶네요 ㅋㅋ큐ㅠㅠㅠ

일단 브라 안 입고 편하게 입을 수 있다는 큰 장점!!
원단 부들부들해요 !!
가슴도 그냥그냥 무난하게 잘 잡아줘서 좋습니다 !!

유교걸인 저는 여기에 가디건이나 여름 셔츠 곁들여 입어주려구요 !!"
skyblue030,상위 5%,2024-07-30,(롱롱ver)아이보리,one size,정사이즈예요,보통이에요,화면과 비슷해요,162.0,45.0,44,"롱롱이 혹시 너무 길지 않을까 걱정했는데 다행히 딱 원하는 길이에요. 셔링이 있다보니까 자연스럽게 주름 잡으면서 기장 조절할 수 있는 느낌이라 좋아요.
재질은 엄청 부들부들해요. 빨래 해봐야 알 수 있을듯.
패드도 안 비치고 아주 맘에 듭니다."
2vdD3Gsj,알수없음,2024-07-29,(롱ver)아이보리,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,158.0,47.0,44,이너로 입을 나시를 찾다 좋은후기가 많길래 구매하게되었습니다. 안에 패드가 있어 따로 속옷을 착용하지 않아도 된다는 점이 매우 편했습니다. 소재는 살에 닿았을때 부들부들하면서 민감한 피부인 저에게도 자극이 하나도 되지 않았습니다. 착용감도 편하였고 159기준으로 입었을때 배꼽정도 길이감이었습니다. 그리고 셔링이 잡혀있어 이너용말고도 하나만 입고다니기에도 핏과 디자인이 이뻤습니다.
gyql******,상위 5%,2024-07-27,백멜란지,one size,정사이즈예요,보통이에요,화면과 비슷해요,165.0,48.0,55,"색이랑 핏은 화면에서 보는거와 같구요 롱을 시키려했는데 체크를 잘못해서 좀 크롭하긴 한데 그래도 예뻐서 잘 입을꺼같아요 
가슴이 작은편인데 크게 티나거나 불편함 없이 잘맞고 다른색상도 구매의사 있습니다ㅎㅎ 혹시나 가슴에 맞지 않을까봐 고민된다면 일단 구매 해보셔도 괜찮을꺼같아요! 웬만하면 맞을듯한!👍🏻👍🏻"
pMH0xcAN,상위 15%,2024-07-26,아이보리,one size,정사이즈예요,별로예요,화면과 비슷해요,154.0,46.0,44,"엥 끈 양쪽이 달라요
아예 다른데요
어쩐지 저 얇은쪽 끈은 한번입고 바로 끊어져서 제가 대충 바느질하고 집에서만 입고있었어요
이미 세탁도 해버려서 환불이나 교환 받을 생각은 없었는데
끈 양쪽이 다르면 불량품 준거 아닌가요?
3개째 구매하는데 실망이에요
가격 저렴해서 보풀이런거는 감안하고 입는데
제품 제대로 확인도 안 하고 발송 한 부분은 실망스럽습니다"
tuKhB9lS,상위 15%,2024-07-26,(롱ver)아이보리,one size,정사이즈예요,보통이에요,화면과 비슷해요,162.0,50.0,55,저는 워터밤말고 바다 놀러가려고 주문했는데 옆구리 셔링 핏 잡아줘서 너무 이뻐요! 기장이랑 색도 괜찮아요 근데 캡내장이라해도 나시라서 가슴을 완전히 잡아주지는 않아요 75 C인데 부유방이란 가슴골 위로 끌어올리면 캡도 같이 딸려옵니다.. 리얼 언더붑 가능이에요 L 사이즈 할 걸 그랬네요.. 캡 부분은 두 번 덧대어져 있지만 약간 비치고 끈이 너무 얇아서 자꾸 꽈배기처럼 꼬아져요 그래도 올여름 잘입고 다닐 것 같습니다~
옷리뷰하는사람,알수없음,2024-07-25,(롱ver)핑크,one size,정사이즈예요,보통이에요,화면보다 어두워요,167.0,61.0,66,"쫀쫀하게 잘늘어나고 옆셔링이 예뻐요~ 
생각보다 핑크색 느낌은안나서.. 아쉬워요
핑크보다는살짝 연보라색에 가까운 색인거같아요 
햇빛받으면다를수도있긴하지만요 ㅎㅎ 

가슴골이 다보여서 유교걸이 입기 쉽지않네요 
75c 인데 캡사이즈 아슬아슬합니다 ㅎㅎ

그래도 소재가쫀쫀해서 이너로입어도 좋을듯 후회는안해요!"
7rPc4sYn,상위 15%,2024-07-23,아이보리,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,155.0,47.0,44,이 제품은 캡 비침이 없어요! 보통 화이트 캡 내장 나시는 어쩔 수 없이 비침이 있던데 비침이 없다는 것만으로도 너무 만족이에요. 원래 하이웨스트 스타일로 입어서 기장도 딱 좋습니다. 세탁 후에도 캡이 그대로 잘 있었음 좋겠어요~~
mink***,알수없음,2024-07-23,아이보리,one size,정사이즈예요,보통이에요,화면과 비슷해요,153.0,35.0,44,"속옷 대신 입기 좋아요 끈이 얇아서 걱정 했는데 박음질이 잘 되어있어서 안심했어요
사이즈도 저한테는 딱 좋아어요 옆선에 셔링이 있어서 허리 라인을 잡아주어서 안정감이 있어서 좋았구요
부들부들한 재질이어서 자주 입을거 같아요
겨울에 기모랑 롱 기장 하나도 구매할까봐요"
VnLxTSJf,상위 5%,2024-07-23,(롱ver)소라,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,166.0,57.0,55,나시 안 입다가 살이 빠지면서 한 번 도전해 봤는데요 일단 쫀쫀하고 몸에 착 붙는데다가 캡이 내장되어 있어서 편합니다... 사실 내내 이것만 입고 싶어요 색 다른 거로 하나 더 살 생각입니다 그리고 셔링이 앞에 있어서 오히려 포인트 + 말라보이는 효과를 주더라구요 베스트 제품은 이유가 있는 듯...!!!
AsU5DUeo,알수없음,2024-07-22,백멜란지,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,163.0,45.0,55,"오 위로 많이 올라가있어서 안부담스럽고 넘 조아용
부들부들한 재질이예용
세탁해서 줄어들거 생각하면 롱버전으로 살걸그랬나 싶기도 해용
요기다가 가벼운거 걸치면 딱 좋을것 같아요
백메란지컬러는 보기힘든데 잘 샀어용ㅎㅎ"
NhCGAIxO,알수없음,2024-07-21,(롱ver)아이보리,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,168.0,54.0,55,제 인생 나시에요… 🥺 나시 유목민이라서 이것저것 입어봤었는데 다 캡이 너무 불편하거나 길이가 너무 짧거나 여러가지 이유로 계석 유목민 생활을 했어요ㅠㅠ 여기 리뷰가 괜찮아서 속는셈치고 샀는데 하 .. 다른 컬러도 다 구매 하고싶어요ㅠㅠ 진짜 인생템이에요 꼭 이거사세요.. 처음 받고 입자마자 다른 나시랑은 완전 다르구나..!! 느꼈어요ㅠ 일단 캡이 너무 편하고 움직이지 않아서 최고예요🥹 길이도 롱 버전으로 샀더니 딱 좋아요!! 너무 길면 항상 넣어입어야하고.. 짧으면 너무 신겅쓰이거 했는데 롱 버전이 길이감이 너무 좋아요💯💯💯 진짜 잘 입고 있습니다 감사합니다 ㅠㅠ 너무너무 만족스러운 구매였어요!!!🥹
